rank,original_rank,symbol,name,market_cap_usd
1,1,BTC,Bitcoin,1069366321843.619
2,2,ETH,Ethereum,203835039480.30536
3,3,BNB,Binance Coin,40748105861.55445
4,5,ADA,Cardano,33198891101.23038
5,6,DOT,Polkadot,33082975404.594036
6,7,XRP,XRP,20029110602.27815
7,8,UNI,Uniswap,16176859354.18293
8,9,LTC,Litecoin,14715870198.991467
9,10,LINK,Chainlink,11754880983.874079
10,11,BCH,Bitcoin Cash,10071394489.552824
11,13,XLM,Stellar,8769378695.484402
12,15,DOGE,Dogecoin,7125032152.3615
13,16,THETA,THETA,6967106739.02032
14,18,AAVE,Aave,4659635360.1952095
15,19,CRO,Crypto.com Coin,4597690508.500876
16,20,VET,VeChain,4238278408.6585426
17,21,CHZ,Chiliz,4036251356.5983295
18,22,XMR,Monero,3989494073.3828597
19,23,ATOM,Cosmos,3935858503.2930074
20,24,SOL,Solana,3887447694.370148
21,25,MIOTA,IOTA,3681737180.993123
22,26,EOS,EOS,3606376208.994967
23,27,TRX,TRON,3586026751.870246
24,28,AVAX,Avalanche,3573362287.5455065
25,29,BSV,Bitcoin SV,3468329273.3047366
26,30,FTT,FTX Token,3502127902.735737
27,31,XEM,NEM,3462513731.4268165
28,33,XTZ,Tezos,3038678510.8665004
29,34,NEO,Neo,2813645145.878376
30,35,HT,Huobi Token,2804835201.917115
31,37,ALGO,Algorand,2714751054.0120955
32,38,KSM,Kusama,2670001666.0435796
33,39,FIL,Filecoin,2533872002.5782957
34,40,SUSHI,SushiSwap,2473828549.678288
35,41,EGLD,Elrond,2402236102.6453323
36,42,DASH,Dash,2259975408.5657263
37,43,SNX,Synthetix,2236953853.492233
38,44,NEAR,NEAR Protocol,2191992892.9767494
39,45,DCR,Decred,2172202603.0624065
40,46,GRT,The Graph,2153748113.709449
41,47,MATIC,Polygon,2068709140.2884035
42,48,MKR,Maker,2129061818.9901097
43,49,HBAR,Hedera Hashgraph,2035532012.1318362
44,50,COMP,Compound,2029296989.8056543
45,51,LEO,UNUS SED LEO,1989287518.3783493
46,52,TFUEL,Theta Fuel,2060249567.6506772
47,53,ZIL,Zilliqa,1808524673.6097255
48,54,ENJ,Enjin Coin,1733610009.5403006
49,55,ZEC,Zcash,1657355678.9941144
50,56,RVN,Ravencoin,1538376994.3140333
51,57,CAKE,PancakeSwap,1461024484.9911404
52,59,RUNE,THORChain,1426808867.4617798
53,60,ETC,Ethereum Classic,1388708805.6714733
54,61,CEL,Celsius,1324905287.7956903
55,62,CHSB,SwissBorg,1352312825.936881
56,63,NEXO,Nexo,1337804580.7056406
57,64,YFI,yearn.finance,1320689243.4218457
58,65,BTT,BitTorrent,1302335251.4059796
59,66,UMA,UMA,1271914118.1193402
60,67,BNT,Bancor,1240977228.6130433
61,68,VGX,Voyager Token,1168541677.4687512
62,69,REN,Ren,1156771997.2373106
63,70,BAT,Basic Attention Token,1126863034.1913152
64,71,FLOW,Flow,1076211318.0072155
65,72,ICX,ICON,1069215565.5395503
66,73,REV,Revain,1047934360.7217776
67,74,WAVES,Waves,1034885311.9545803
68,75,ZRX,0x,1020289804.082309
69,76,MANA,Decentraland,1044629935.4208596
70,77,FTM,Fantom,990985777.0857888
71,78,OKB,OKB,947853174.0241584
72,79,UST,TerraUSD,947718010.3603061
73,81,DGB,DigiByte,874847711.3203251
74,82,ONT,Ontology,862829217.1933054
75,83,STX,Stacks,854935476.4249035
76,85,RENBTC,renBTC,731859880.3291423
77,86,OMG,OMG Network,720688175.6801279
78,87,IOST,IOST,713444612.8191837
79,88,CELO,Celo,699208079.1106079
80,89,NANO,Nano,674937545.8111943
81,90,LRC,Loopring,643279773.7130617
82,91,QTUM,Qtum,579129358.969976
83,92,BTG,Bitcoin Gold,568385553.62683
84,93,OCEAN,Ocean Protocol,575054917.894186
85,94,SC,Siacoin,552462632.987747
86,95,1INCH,1inch,548962878.4891593
87,97,NPXS,Pundi X,529497957.80429476
88,98,ONE,Harmony,543077624.3129739
89,99,REEF,Reef,520733987.0893728
90,100,ZEN,Horizen,506669385.48389965
91,101,CRV,Curve DAO Token,503294912.33377564
92,102,HOT,Holo,491639076.5943167
93,103,SKL,SKALE Network,497628086.078716
94,104,GLM,Golem,489029596.45368
95,105,AR,Arweave,480601458.02733517
96,106,ZKS,ZKSwap,463248686.8817269
97,107,ANKR,Ankr,441461866.08808094
98,108,XVS,Venus,459597666.3995796
99,109,KNC,Kyber Network,452765280.0179384
100,110,HNT,Helium,441352279.3921772
101,111,QNT,Quant,438826404.1315965
102,112,EWT,Energy Web Token,437243711.90980303
103,113,TEL,Telcoin,429027943.20901704
104,114,LSK,Lisk,401041530.79420716
105,115,CKB,Nervos Network,402978015.1064798
106,116,HEDG,HedgeTrade,399320216.395506
107,117,XVG,Verge,402337212.7968172
108,118,FET,Fetch.ai,393124377.3831807
109,119,WAXP,WAX,386355090.76159513
110,120,KCS,KuCoin Token,371633306.1908926
111,121,ALPHA,Alpha Finance Lab,372310479.6980748
112,122,REP,Augur,346313972.27175725
113,123,DODO,DODO,341600420.8586146
114,124,KAVA,Kava.io,342573732.7496399
115,125,IOTX,IoTeX,333998534.92971927
116,126,BADGER,Badger DAO,329764657.61231256
117,127,MAID,MaidSafeCoin,323321583.56342447
118,128,SNT,Status,317653331.5592138
119,129,BAL,Balancer,305715414.4206328
120,131,CVC,Civic,288312377.9201345
121,132,SXP,Swipe,287468145.14952403
122,133,TRAC,OriginTrail,282979275.3089583
123,134,POLY,Polymath,285518718.4587404
124,135,SRM,Serum,275527790.0198185
125,136,BAND,Band Protocol,275418283.0274297
126,138,ROSE,Oasis Network,265406506.395975
127,139,DENT,Dent,263891497.9620278
128,140,SWAP,TrustSwap,242448767.12638897
129,141,CHR,Chromia,242222939.02439004
130,142,POLS,Polkastarter,241204487.99228945
131,143,NU,NuCypher,239694840.89684567
132,144,BTS,BitShares,238122257.7413873
133,145,ANT,Aragon,236509558.0676876
134,146,UTK,Utrust,235053924.383115
135,147,ARDR,Ardor,227190044.15630507
136,148,RIF,RSK Infrastructure Framework,227916835.99260268
137,149,COTI,COTI,227981052.85209918
138,150,CELR,Celer Network,226775448.30060017
139,151,OXT,Orchid,221302844.12514433
140,152,GNO,Gnosis,218057733.09578347
141,153,OGN,Origin Protocol,215700478.20763302
142,154,FUN,FunFair,213438274.11210534
143,155,BORA,BORA,216919037.6542573
144,156,AGI,SingularityNET,205819666.88408667
145,157,ARK,Ark,205508512.6845091
146,158,BCD,Bitcoin Diamond,202327528.86372754
147,159,SCRT,Secret,199542514.09198058
148,160,NMR,Numeraire,196192618.26963398
149,161,VTHO,VeThor Token,196288760.34938598
150,162,STORJ,Storj,194165402.71430275
151,163,ZB,ZB Token,190625132.19054285
152,164,ELF,aelf,191610515.57938272
153,165,AVA,Travala.com,186670039.16146606
154,166,XOR,Sora,185996884.88241762
155,167,RLC,iExec RLC,184741401.97229293
156,168,INJ,Injective Protocol,183523887.43918878
157,169,TOMO,TomoChain,185364310.88718492
158,170,KMD,Komodo,182695056.13673836
159,171,STEEM,Steem,178115711.52562842
160,172,UOS,Ultra,177205329.86626843
161,173,BTCST,Bitcoin Standard Hashrate Token,176295774.65848333
162,174,UBT,Unibright,176590693.50590795
163,175,QKC,QuarkChain,174613917.7104982
164,176,DIVI,Divi,170367755.9906899
165,177,XHV,Haven Protocol,172012522.1258706
166,178,STRAX,Stratis,169768184.83175933
167,179,WAN,Wanchain,167587696.61329818
168,180,PHA,Phala Network,172342967.42987916
169,181,IRIS,IRISnet,165348279.1918267
170,182,POWR,Power Ledger,165372459.1651453
171,183,SFI,saffron.finance,162954390.22324625
172,184,CVT,CyberVein,161474672.3517481
173,186,MFT,Hifi Finance,162243758.707
174,187,NOIA,Syntropy,158706178.96909595
175,188,DNT,district0x,156745511.162436
176,189,LIT,Litentry,148318205.27411887
177,190,LOOM,Loom Network,148891550.5022683
178,191,KIN,Kin,143042966.0020861
179,192,AKRO,Akropolis,145304391.80467755
180,193,PPT,Populous,143080216.11959973
181,194,ABBC,ABBC Coin,142948011.16074666
182,195,LTO,LTO Network,143119934.0960718
183,196,PAXG,PAX Gold,141006813.82372856
184,197,SYS,Syscoin,142068695.27465698
185,198,HIVE,Hive,137463950.38196695
186,199,GAS,Gas,129852276.1546636
187,200,META,Metadium,127121129.27717075
188,201,CTC,Creditcoin,4374329149.915175
189,202,BRG,Bridge Oracle,2423312700.9415703
190,203,CCXX,Counos X,1653946039.43901
191,204,HBTC,Huobi BTC,1599422738.8172536
192,205,HEX,HEX,1581810063.4834058
193,207,DFI,DeFiChain,1459485469.8013077
194,208,XWC,WhiteCoin,1291151239.6583178
195,209,INO,INO COIN,1276858677.609375
196,210,THR,ThoreCoin,969578800.5826629
197,211,BTMX,BitMax Token,768155623.527604
198,212,TTT,The Transfer Token,726769116.6249105
199,213,ORC,Orbit Chain,543537512.2516311
200,214,KLV,Klever,497568669.39135706
201,215,XDC,XinFin Network,464160199.3098333
202,216,vBNB,Venus BNB,448963405.10890174
203,217,SAND,The Sandbox,423373352.38605255
204,218,NXM,NXM,432837510.0050867
205,219,CFX,Conflux Network,414471146.62635684
206,220,BEST,Bitpanda Ecosystem Token,391349488.7892936
207,221,ORN,Orion Protocol,351338869.4633397
208,222,ZLW,Zelwin,345818016.50850827
209,223,STETH,stETH (Lido),322898254.3269876
210,224,GNY,GNY,312975448.5496602
211,225,BCHA,Bitcoin Cash ABC,304355304.44450617
212,226,MIR,Mirror Protocol,302235967.02632535
213,227,MDX,Mdex,290631813.91646177
214,228,KEEP,Keep Network,282890454.7429383
215,229,XIN,Mixin,279221216.00458866
216,230,MWC,MimbleWimbleCoin,248277015.86768028
217,231,ETN,Electroneum,245333590.9656386
218,232,BOTX,botXcoin,244667360.64145792
219,233,SOLO,Sologenic,242176790.3006274
220,234,vBTC,Venus BTC,236122249.3340771
221,235,AMP,Amp,237321926.89010045
222,236,EAURIC,Eauric,232627973.93863085
223,237,vXVS,Venus XVS,232401833.74671364
224,238,WHALE,WHALE,224460737.49396312
225,239,LINA,Linear,217227219.1959068
226,240,AXS,Axie Infinity,215121248.25654194
227,241,GALA,Gala,211034201.96925604
228,242,AKT,Akash Network,209077611.36582962
229,243,RFOX,RedFOX Labs,206948323.3974407
230,244,MATH,MATH,203092365.99643898
231,245,HTR,Hathor,199867137.38875306
232,246,SFP,SafePal,197313177.76092103
233,247,ICH,Idea Chain Coin,185537322.65146214
234,248,REW,Rewardiqa,176507320.0385795
235,249,USDN,Neutrino USD,174837475.2448232
236,250,LRG,Largo Coin,173581279.3365066
237,251,DDX,DerivaDAO,172812725.90299082
238,252,EUM,Elitium,171370276.8154038
239,253,SUPER,SuperFarm,169333021.0109907
240,254,SRK,SparkPoint,164459330.4243664
241,255,BAKE,BakeryToken,162276508.66236737
242,256,RGT,Rari Governance Token,161026730.00826624
243,257,NYE,NewYork Exchange,160777952.32194474
244,258,LON,Tokenlon Network Token,158483542.5139107
245,259,PERP,Perpetual Protocol,153075692.15823978
246,260,XCM,CoinMetro Token,146597061.10952342
247,261,HNC,Hellenic Coin,146976046.4661193
248,263,DRS,Doctors Coin,143078673.75077292
249,264,BLCT,Bloomzed Loyalty Club Ticket,138735420.9123223
250,265,EDG,Edgeware,138246785.76118222
251,266,TROY,TROY,132601036.18257485
252,267,DKA,dKargo,135106678.29437518
253,268,NFTX,NFTX,131569787.92393503
254,269,RPL,Rocket Pool,129076416.37780026
255,270,MONA,MonaCoin,128379683.00280945
256,271,JST,JUST,128975304.61347288
257,272,SAPP,Sapphire,127983282.36293554
258,273,UQC,Uquid Coin,126864544.6630782
259,274,GRN,GreenPower,125449350.88748568
260,275,BOND,BarnBridge,124618798.2225898
261,276,TWT,Trust Wallet Token,125133432.90842716
262,277,WOO,Wootrade,124344813.98142216
263,278,BTM,Bytom,123530173.32982497
264,279,AUDIO,Audius,120882233.002788
265,280,EXRD,Radix,119458932.81807005
266,282,MVL,MVL,121669335.51425277
267,283,BNANA,Chimpion,118759701.8220784
268,284,PRQ,PARSIQ,118020458.70874062
269,285,WOZX,EFFORCE,116222951.22170573
270,286,GT,GateToken,114892375.0843126
271,287,ATRI,Atari Token,113750858.79503559
272,288,ADX,AdEx Network,115073466.94325662
273,289,DATA,Streamr,114273649.82632975
274,290,ORBS,Orbs,112881239.59191865
275,291,FARM,Harvest Finance,112018139.75601178
276,292,RING,Darwinia Network,108872436.62532979
277,293,RAY,Raydium,111836966.06331031
278,294,MASK,Mask Network,109005318.1505431
279,295,UNFI,Unifi Protocol DAO,111141240.60729511
280,296,RDD,ReddCoin,108715038.2857387
281,297,HNS,Handshake,107296309.92560165
282,298,VLX,Velas,106632915.9392925
283,299,LPT,Livepeer,106227183.66510242
284,300,MBN,Mobilian Coin,105832308.76322456
285,301,MED,MediBloc,98329952.4751467
286,302,NKN,NKN,104903114.73643917
287,303,MTL,Metal,104195572.22804555
288,304,LBC,LBRY Credits,105164408.86411099
289,305,YOUC,yOUcash,104388854.6934802
290,306,DUSK,Dusk Network,104071614.67387632
291,307,AION,Aion,105355280.734365
292,308,TT,Thunder Token,106224710.19938596
293,309,DEGO,Dego Finance,95325337.7992479
294,310,STMX,StormX,105982309.15944844
295,311,REQ,Request,100803312.0981638
296,312,OM,MANTRA DAO,101035484.80907576
297,313,STAKE,xDai,97370852.77242415
298,314,BIFI,Beefy.Finance,97582993.39541928
299,316,ALBT,AllianceBlock,96915248.73225535
300,317,MRPH,Morpheus.Network,97265673.70609476
301,318,HARD,HARD Protocol,98671321.34996296
302,319,NULS,NULS,96673825.92723049
303,321,BLZ,Bluzelle,96511352.84340757
304,322,LYXe,LUKSO,96040294.1505679
305,323,CENNZ,Centrality,94051670.797944
306,324,IQ,Everipedia,94201792.80749735
307,325,CAS,Cashaa,93230635.3565047
308,326,ERN,Ethernity Chain,91326323.35590675
309,327,FXS,Frax Share,91044114.46803808
310,328,MEME,Meme,94192902.35398532
311,329,IGNIS,Ignis,93613699.80046746
312,330,NRG,Energi,91175728.08503196
313,331,XNC,XeniosCoin,90789923.99537453
314,332,WTC,Waltonchain,90165906.40002157
315,333,SOLVE,SOLVE,86580995.49720442
316,334,WICC,WaykiChain,89916632.1612594
317,335,SHR,ShareToken,87432798.03568047
318,336,MASS,Massnet,87215719.23777568
319,337,ZAP,Zap,85127384.97809182
320,338,FIRO,Firo,86527926.83043738
321,339,SPND,Spendcoin,88137210.36803964
322,340,HEGIC,Hegic,86759721.76113933
323,341,YLD,YIELD App,86342568.47117478
324,342,FRM,Ferrum Network,85848206.95299478
325,343,DDIM,DuckDaoDime,85385583.93419394
326,344,ATT,Attila,86009277.2072701
327,345,BDP,Big Data Protocol,84981371.8180881
328,346,BDX,Beldex,84328105.17307511
329,347,HPT,Huobi Pool Token,83814882.83251072
330,348,BZRX,bZx Protocol,83455100.49352685
331,349,VITAE,Vitae,82696787.04250361
